Anno educativo;prov;Zone;Unione  ;Comuni;CODICE ISTAT;Totale 3-36 mesi;Nidi a titolarità pubblica;Nidi a titolarità Privata;Totale Nidi;Servizi integrativi a titolarità pubblica;Servizi integrativi a titolarità Privata;Totale servizi integrativi;Totale servizi;Ricettività Nidi - Titolarità pubblica;Ricettività Nidi - Titolarità privata;Totale Ricettività Nidi;Ricettività Servizi integrativi - Titolarità pubblica;Ricettività Servizi integrativi - Titolarità privata;Totale Ricettività Servizi integrativi;Totale Ricettività potenziale;Totale Domande (comprensive di rinunce) al 01/09;di cui Rinunce entro il 01/09;Lista d'attesa al 01/09;lista d'attesa al 31/12;Ritirati entro il 31/12;Iscritti Nidi Pubblici gestione diretta;Iscritti Nidi Pubblici gestione indiretta;Totale Iscritti Nidi Pubblici;Iscritti Nidi Privati Convenzionati;Iscritti Nidi Privati Non Convenzionati;Totale iscritti Nidi Privati;Iscritti Servizi integrativi;Totale iscritti;Iscritti minori di 15 mesi;Iscritti 15-26 mesi;Iscritti maggiori di 26 mesi;Totale anticipatari;Indicatore di Lisbona
2024-25;AR;Aretina;;Arezzo;51002;1700;12;9;21;;;;21;468;231;699;;;;699;1017;52;486;237;4;201;270;471;227;18;245;;716;132;310;274;22;43,6
2024-25;AR;Aretina;;Capolona;51006;75;1;;1;;;;1;28;;28;;;;28;31;3;3;3;;;25;25;;;;;25;0;18;7;4;38,7
2024-25;AR;Aretina;;Castiglion  Fibocchi;51011;37;;;;;1;1;1;;;;;7;7;7;7;0;0;0;;;;;;;;7;7; <3;4; <3;4;29,7
2024-25;AR;Aretina;;Civitella  in  Val  di  Chiana;51016;124;1;;1;;;;1;60;;60;;;;60;96;4;32;0; <3;;60;60;;;;;60;12;24;24;5;54
2024-25;AR;Aretina;;Monte  San  Savino;51025;152;1;1;2;;;;2;18;21;39;;;;39;62;9;10;10; <3;;22;22;;21;21;;43;10;21;12;4;32,2
2024-25;AR;Aretina;;Subbiano;51037;112;;1;1;;;;1;;30;30;;;;30;36;0;0;0;;;;;36;;36;;36;4;16;16;5;36,6
2024-25;AR;Casentino;;Bibbiena;51004;194;1;;1;;;;1;63;;63;;;;63;105;9;33;46;;;63;63;;;;;63;12;27;24;7;36,1
2024-25;AR;Casentino;;Pratovecchio  Stia;51041;90;1;1;2;;;;2;29;18;47;;;;47;50; <3; <3;0; <3;;29;29;15;;15;;44;7;13;24; <3;53,3
2024-25;AR;Casentino;Unione  dei  Comuni  Montani  del  Casentino;Castel  Focognano;51008;35;;1;1;;;;1;;24;24;;;;24;;;;;;;;;24;;24;;24; <3;14;8;0;68,6
2024-25;AR;Casentino;Unione  dei  Comuni  Montani  del  Casentino;Castel  San  NiccolÃ²;51010;38;1;;1;;;;1;18;;18;;;;18;;;;;;;18;18;;;;;18;9;7; <3; <3;50
2024-25;AR;Casentino;Unione  dei  Comuni  Montani  del  Casentino;Chitignano;51014;7;1;;1;;;;1;7;;7;;;;7;;;;;;; <3; <3;;;;; <3;0;0; <3;0;28,6
2024-25;AR;Casentino;Unione  dei  Comuni  Montani  del  Casentino;Chiusi  della  Verna;51015;36;2;;2;;;;2;14;;14;;;;14;;;;;;;14;14;;;;;14; <3;5;7;5;52,8
2024-25;AR;Casentino;Unione  dei  Comuni  Montani  del  Casentino;Montemignaio;51023;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; <3;20
2024-25;AR;Casentino;Unione  dei  Comuni  Montani  del  Casentino;Ortignano  Raggiolo;51027;9;1;;1;;;;1;20;;20;;;;20;;;;;;;24;24;;;;;24;13;6;5;0;266,7
2024-25;AR;Casentino;Unione  dei  Comuni  Montani  del  Casentino;Poppi;51031;85;1;;1;;;;1;20;;20;;;;20;;;;;;;24;24;;;;;24;13;9; <3;3;31,8
2024-25;AR;Casentino;Unione  dei  Comuni  Montani  del  Casentino;Talla;51038;13;1;;1;;;;1;7;;7;;;;7;;;;;;;7;7;;;;;7;3;4;0; <3;61,5
2024-25;AR;Casentino;Unione  dei  Comuni  Montani  del  Casentino;;;228;7;1;8;;;;8;86;24;110;;;;110;129;8;6;0;0;;89;89;24;;24;;113;42;45;26;11;54,4
2024-25;AR;Val  di  Chiana  Aretina;;Castiglion  Fiorentino;51012;210;2;2;4;;;;4;65;36;101;;;;101;103;0;0;0;;;72;72;6;30;36;;108;22;55;31;10;56,2
2024-25;AR;Val  di  Chiana  Aretina;;Cortona;51017;307;3;2;5;;;;5;103;63;166;;;;166;161;0;20;12;;;98;98;55;;55;;153;31;67;55;12;53,7
2024-25;AR;Val  di  Chiana  Aretina;;Foiano  della  Chiana;51018;143;1;;1;;;;1;60;;60;;;;60;77; <3;13;12; <3;;63;63;;;;;63;10;29;24;8;50,3
2024-25;AR;Val  di  Chiana  Aretina;;Lucignano;51021;59;1;;1;;;;1;32;;32;;;;32;45; <3;0;0; <3;;32;32;;;;;32; <3;18;13;0;55,9
